mu,sigma,beta,tau,avg_acc,avg_calib,avg_log_loss
1500,500.0,500.0,2.5,0.663,0.832,0.482
1500,500.0,500.0,5.0,0.663,0.832,0.482
1500,500.0,500.0,10.0,0.66,0.837,0.481
1500,500.0,166.66666666666666,2.5,0.648,0.88,0.39
1500,500.0,166.66666666666666,5.0,0.65,0.878,0.391
1500,500.0,166.66666666666666,10.0,0.648,0.879,0.39
1500,500.0,100.0,2.5,0.638,0.9,0.356
1500,500.0,100.0,5.0,0.638,0.9,0.357
1500,500.0,100.0,10.0,0.64,0.898,0.358
1500,300.0,500.0,2.5,0.65,0.833,0.527
1500,300.0,500.0,5.0,0.65,0.833,0.526
1500,300.0,500.0,10.0,0.645,0.841,0.524
1500,300.0,166.66666666666666,2.5,0.65,0.866,0.427
1500,300.0,166.66666666666666,5.0,0.648,0.868,0.426
1500,300.0,166.66666666666666,10.0,0.651,0.864,0.427
1500,300.0,100.0,2.5,0.65,0.878,0.391
1500,300.0,100.0,5.0,0.648,0.879,0.39
1500,300.0,100.0,10.0,0.65,0.877,0.391
1500,150.0,500.0,2.5,0.67,0.782,0.602
1500,150.0,500.0,5.0,0.67,0.782,0.601
1500,150.0,500.0,10.0,0.667,0.787,0.598
1500,150.0,166.66666666666666,2.5,0.658,0.836,0.49
1500,150.0,166.66666666666666,5.0,0.655,0.84,0.488
1500,150.0,166.66666666666666,10.0,0.657,0.838,0.487
1500,150.0,100.0,2.5,0.648,0.864,0.441
1500,150.0,100.0,5.0,0.651,0.86,0.442
1500,150.0,100.0,10.0,0.651,0.859,0.441
