mu,sigma,beta,tau,avg_acc,avg_calib,avg_log_loss
1500,100,10,0.01,0.606,1.311,0.232
1500,100,10,0.1,0.607,1.308,0.233
1500,100,10,1.0,0.597,1.336,0.222
1500,100,10,10.0,0.623,1.307,0.207
1500,100,10,50.0,0.599,1.346,0.196
1500,100,25,0.01,0.611,1.26,0.258
1500,100,25,0.1,0.611,1.26,0.258
1500,100,25,1.0,0.619,1.241,0.264
1500,100,25,10.0,0.613,1.274,0.236
1500,100,25,50.0,0.602,1.326,0.206
1500,100,50,0.01,0.626,1.186,0.295
1500,100,50,0.1,0.626,1.186,0.295
1500,100,50,1.0,0.628,1.181,0.297
1500,100,50,10.0,0.638,1.171,0.293
1500,100,50,50.0,0.611,1.278,0.233
1500,100,100,0.01,0.635,1.099,0.354
1500,100,100,0.1,0.635,1.099,0.354
1500,100,100,1.0,0.635,1.099,0.355
1500,100,100,10.0,0.646,1.083,0.354
1500,100,100,50.0,0.628,1.185,0.284
1500,100,175,0.01,0.645,1.007,0.426
1500,100,175,0.1,0.645,1.007,0.426
1500,100,175,1.0,0.645,1.007,0.426
1500,100,175,10.0,0.641,1.023,0.415
1500,100,175,50.0,0.628,1.127,0.333
1500,100,250,0.01,0.638,0.969,0.475
1500,100,250,0.1,0.638,0.969,0.475
1500,100,250,1.0,0.638,0.969,0.475
1500,100,250,10.0,0.636,0.986,0.463
1500,100,250,50.0,0.636,1.069,0.378
