k,cutoff,mov,w90,RMSE
0.5,1650,mov_lin,200,1.2048360803053537
0.5,1550,mov_lin,50,1.228973958884033
0.5,1550,mov_lin,200,1.230833268547841
0.5,1600,mov_lin,200,1.2314323525426898
0.5,1600,mov_lin,50,1.242990704623007
0.5,1600,mov_lin,100,1.2658088600774273
0.5,1550,mov_lin,100,1.3294620417719
0.5,1650,mov_lin,50,1.3328636654229915
0.5,1650,mov_lin,100,1.3562969659525113
1.0,1600,mov_lin,50,1.457541668884631
1.0,1550,mov_lin,200,1.5330735200805556
1.0,1650,mov_lin,200,1.6415552360791206
1.0,1600,mov_lin,200,1.753521682125053
1.0,1650,mov_lin,100,1.8276380417260214
1.0,1600,mov_lin,100,1.8682194884476573
1.0,1650,mov_lin,50,1.8890729601137963
1.0,1550,mov_lin,100,1.9810086451392979
2.0,1600,mov_lin,100,2.0298282267994114
2.0,1550,mov_lin,200,2.409848381675658
1.0,1550,mov_lin,50,2.4371456794403445
2.0,1600,mov_lin,200,2.55084609937715
2.0,1650,mov_lin,200,2.962789078682896
2.0,1550,mov_lin,100,3.498861311924089
2.0,1650,mov_lin,100,3.960946546352275
2.0,1650,mov_lin,50,4.112713666516747
2.0,1550,mov_lin,50,4.61518110138733
3.0,1600,mov_lin,100,5.145736119046682
2.0,1600,mov_lin,50,5.949859229605565
3.0,1650,mov_lin,200,5.984103720673609
3.0,1600,mov_lin,200,6.8198270258271885
3.0,1550,mov_lin,200,7.457085157428464
3.0,1650,mov_lin,100,10.483773578587426
3.0,1550,mov_lin,50,11.355726179069407
3.0,1550,mov_lin,100,11.424546599090728
3.0,1650,mov_lin,50,11.602467907990944
3.0,1600,mov_lin,50,11.614813438968508
20.0,1600,mov_lin,200,214.40192155256986
20.0,1550,mov_lin,200,226.68159882006356
20.0,1650,mov_lin,200,239.247579045613
20.0,1650,mov_lin,100,295.44220603024087
20.0,1650,mov_lin,50,334.373968700036
20.0,1600,mov_lin,50,355.35688021140885
20.0,1600,mov_lin,100,390.63393086953346
20.0,1550,mov_lin,100,441.8595692279246
20.0,1550,mov_lin,50,461.42372187359365
