mu,sigma,beta,tau,RMSE
125,5.0,1.0,0.1,0.3266441461554396
125,5.0,2.5,0.1,0.36308793853581667
125,5.0,3.3333333333333335,0.1,0.3945351131241857
125,2.5,0.5,0.05,0.40812716835689455
125,12.5,2.5,0.25,0.41914585514437314
125,2.5,1.25,0.05,0.4460277339900473
125,2.5,1.6666666666666667,0.05,0.4735012333207278
125,5.0,1.0,0.05,0.5419688125236938
125,5.0,2.5,0.05,0.588698227384266
125,2.5,0.5,0.025,0.5937593993755078
125,12.5,6.25,0.25,0.6107531238239713
125,5.0,3.3333333333333335,0.05,0.6270427827734959
125,2.5,1.25,0.025,0.6290480047489326
125,2.5,1.6666666666666667,0.025,0.6529231913363466
125,5.0,1.0,0.025,0.6943285771019734
125,2.5,0.5,0.0125,0.7081129307586743
125,12.5,2.5,0.125,0.7290500943674824
125,2.5,1.25,0.0125,0.7294684838531548
125,5.0,2.5,0.025,0.7321634992223528
125,2.5,1.6666666666666667,0.0125,0.744335768822731
125,5.0,3.3333333333333335,0.025,0.7645385905737163
125,12.5,8.333333333333334,0.25,0.800884415256589
125,12.5,6.25,0.125,0.9795832861151259
125,12.5,2.5,0.0625,1.027785494776476
125,12.5,8.333333333333334,0.125,1.2160912981954857
125,12.5,6.25,0.0625,1.2931955008273859
125,12.5,8.333333333333334,0.0625,1.53857280530333
125,41.666666666666664,8.333333333333332,0.8333333333333333,7.862919202332103
125,41.666666666666664,8.333333333333332,0.41666666666666663,8.29398037030296
125,41.666666666666664,8.333333333333332,0.20833333333333331,9.407658777080941
125,41.666666666666664,20.833333333333332,0.8333333333333333,11.102725960366273
125,41.666666666666664,20.833333333333332,0.41666666666666663,11.826122615762266
125,41.666666666666664,20.833333333333332,0.20833333333333331,13.164102322722488
125,41.666666666666664,27.777777777777775,0.8333333333333333,14.049681795782078
125,41.666666666666664,27.777777777777775,0.41666666666666663,15.051599692536078
125,41.666666666666664,27.777777777777775,0.20833333333333331,16.54761929639644
