mu,sigma,beta,tau,avg_acc,avg_calib,avg_log_loss,std_acc,std_calib,std_log_loss
1500,500.0,500.0,2.5,0.663,0.832,0.482,0.052,0.058,0.036
1500,500.0,500.0,5.0,0.663,0.832,0.482,0.052,0.058,0.036
1500,500.0,500.0,10.0,0.66,0.837,0.481,0.053,0.059,0.037
1500,500.0,166.66666666666666,2.5,0.648,0.88,0.39,0.07,0.074,0.033
1500,500.0,166.66666666666666,5.0,0.65,0.878,0.391,0.069,0.07,0.031
1500,500.0,166.66666666666666,10.0,0.648,0.879,0.39,0.067,0.067,0.032
1500,500.0,100.0,2.5,0.638,0.9,0.356,0.07,0.074,0.037
1500,500.0,100.0,5.0,0.638,0.9,0.357,0.07,0.074,0.037
1500,500.0,100.0,10.0,0.64,0.898,0.358,0.07,0.075,0.038
1500,300.0,500.0,2.5,0.65,0.833,0.527,0.087,0.154,0.023
1500,300.0,500.0,5.0,0.65,0.833,0.526,0.088,0.155,0.022
1500,300.0,500.0,10.0,0.645,0.841,0.524,0.088,0.155,0.023
1500,300.0,166.66666666666666,2.5,0.65,0.866,0.427,0.057,0.061,0.036
1500,300.0,166.66666666666666,5.0,0.648,0.868,0.426,0.058,0.061,0.035
1500,300.0,166.66666666666666,10.0,0.651,0.864,0.427,0.058,0.061,0.035
1500,300.0,100.0,2.5,0.65,0.878,0.391,0.069,0.07,0.031
1500,300.0,100.0,5.0,0.648,0.879,0.39,0.067,0.067,0.032
1500,300.0,100.0,10.0,0.65,0.877,0.391,0.065,0.065,0.033
1500,150.0,500.0,2.5,0.67,0.782,0.602,0.096,0.164,0.022
1500,150.0,500.0,5.0,0.67,0.782,0.601,0.097,0.164,0.023
1500,150.0,500.0,10.0,0.667,0.787,0.598,0.096,0.163,0.024
1500,150.0,166.66666666666666,2.5,0.658,0.836,0.49,0.057,0.064,0.038
1500,150.0,166.66666666666666,5.0,0.655,0.84,0.488,0.057,0.065,0.038
1500,150.0,166.66666666666666,10.0,0.657,0.838,0.487,0.055,0.064,0.039
1500,150.0,100.0,2.5,0.648,0.864,0.441,0.058,0.063,0.037
1500,150.0,100.0,5.0,0.651,0.86,0.442,0.06,0.065,0.036
1500,150.0,100.0,10.0,0.651,0.859,0.441,0.036,0.034,0.031
