mu,sigma,beta,tau,avg_acc,avg_calib,avg_log_loss,std_acc,std_calib,std_log_loss
1500,500.0,500.0,2.5,0.636,0.927,0.346,0.033,0.041,0.036
1500,500.0,500.0,5.0,0.636,0.927,0.346,0.033,0.041,0.037
1500,500.0,500.0,10.0,0.636,0.927,0.345,0.033,0.04,0.037
1500,500.0,166.66666666666666,2.5,0.614,0.982,0.255,0.044,0.057,0.041
1500,500.0,166.66666666666666,5.0,0.616,0.979,0.257,0.043,0.052,0.039
1500,500.0,166.66666666666666,10.0,0.618,0.976,0.257,0.041,0.053,0.041
1500,500.0,100.0,2.5,0.614,0.986,0.234,0.046,0.047,0.036
1500,500.0,100.0,5.0,0.614,0.986,0.233,0.046,0.047,0.036
1500,500.0,100.0,10.0,0.614,0.986,0.232,0.048,0.049,0.037
1500,300.0,500.0,2.5,0.655,0.875,0.411,0.057,0.071,0.033
1500,300.0,500.0,5.0,0.655,0.875,0.411,0.057,0.071,0.033
1500,300.0,500.0,10.0,0.65,0.883,0.408,0.057,0.07,0.034
1500,300.0,166.66666666666666,2.5,0.624,0.96,0.293,0.036,0.04,0.029
1500,300.0,166.66666666666666,5.0,0.626,0.958,0.294,0.037,0.041,0.028
1500,300.0,166.66666666666666,10.0,0.626,0.957,0.293,0.037,0.032,0.026
1500,300.0,100.0,2.5,0.616,0.979,0.257,0.043,0.052,0.039
1500,300.0,100.0,5.0,0.618,0.976,0.257,0.041,0.053,0.041
1500,300.0,100.0,10.0,0.619,0.974,0.257,0.042,0.054,0.04
1500,150.0,500.0,2.5,0.67,0.809,0.527,0.092,0.151,0.032
1500,150.0,500.0,5.0,0.67,0.809,0.526,0.092,0.15,0.033
1500,150.0,500.0,10.0,0.667,0.815,0.521,0.091,0.149,0.034
1500,150.0,166.66666666666666,2.5,0.638,0.921,0.356,0.041,0.044,0.035
1500,150.0,166.66666666666666,5.0,0.64,0.918,0.357,0.036,0.037,0.035
1500,150.0,166.66666666666666,10.0,0.64,0.917,0.355,0.033,0.034,0.037
1500,150.0,100.0,2.5,0.624,0.957,0.306,0.036,0.04,0.031
1500,150.0,100.0,5.0,0.626,0.954,0.306,0.036,0.039,0.03
1500,150.0,100.0,10.0,0.628,0.951,0.304,0.037,0.032,0.031
