mu,sigma,beta,tau,avg_acc,avg_calib,avg_log_loss
1500,500.0,500.0,2.5,0.636,0.927,0.346
1500,500.0,500.0,5.0,0.636,0.927,0.346
1500,500.0,500.0,10.0,0.636,0.927,0.345
1500,500.0,166.66666666666666,2.5,0.614,0.982,0.255
1500,500.0,166.66666666666666,5.0,0.616,0.979,0.257
1500,500.0,166.66666666666666,10.0,0.618,0.976,0.257
1500,500.0,100.0,2.5,0.614,0.986,0.234
1500,500.0,100.0,5.0,0.614,0.986,0.233
1500,500.0,100.0,10.0,0.614,0.986,0.232
1500,300.0,500.0,2.5,0.655,0.875,0.411
1500,300.0,500.0,5.0,0.655,0.875,0.411
1500,300.0,500.0,10.0,0.65,0.883,0.408
1500,300.0,166.66666666666666,2.5,0.624,0.96,0.293
1500,300.0,166.66666666666666,5.0,0.626,0.958,0.294
1500,300.0,166.66666666666666,10.0,0.626,0.957,0.293
1500,300.0,100.0,2.5,0.616,0.979,0.257
1500,300.0,100.0,5.0,0.618,0.976,0.257
1500,300.0,100.0,10.0,0.619,0.974,0.257
1500,150.0,500.0,2.5,0.67,0.809,0.527
1500,150.0,500.0,5.0,0.67,0.809,0.526
1500,150.0,500.0,10.0,0.667,0.815,0.521
1500,150.0,166.66666666666666,2.5,0.638,0.921,0.356
1500,150.0,166.66666666666666,5.0,0.64,0.918,0.357
1500,150.0,166.66666666666666,10.0,0.64,0.917,0.355
1500,150.0,100.0,2.5,0.624,0.957,0.306
1500,150.0,100.0,5.0,0.626,0.954,0.306
1500,150.0,100.0,10.0,0.628,0.951,0.304
