mu,sigma,beta,tau,avg_acc,avg_calib,avg_log_loss,std_acc,std_calib,std_log_loss
1500,1000.0,1000.0,100.0,0.646,1.083,0.354,0.064,0.099,0.055
1500,1000.0,1000.0,10.0,0.635,1.099,0.355,0.074,0.124,0.063
1500,1000.0,1000.0,1.0,0.635,1.099,0.354,0.073,0.123,0.063
1500,1000.0,500.0,100.0,0.638,1.171,0.293,0.087,0.158,0.045
1500,1000.0,500.0,10.0,0.628,1.181,0.297,0.072,0.132,0.051
1500,1000.0,500.0,1.0,0.626,1.186,0.295,0.073,0.133,0.052
1500,1000.0,200.0,100.0,0.621,1.273,0.231,0.079,0.153,0.037
1500,1000.0,200.0,10.0,0.607,1.275,0.25,0.08,0.143,0.047
1500,1000.0,200.0,1.0,0.602,1.288,0.246,0.084,0.153,0.049
1500,500.0,500.0,50.0,0.646,1.083,0.354,0.064,0.099,0.055
1500,500.0,500.0,5.0,0.635,1.099,0.355,0.074,0.124,0.063
1500,500.0,500.0,0.5,0.635,1.099,0.354,0.073,0.123,0.063
1500,500.0,250.0,50.0,0.638,1.171,0.293,0.087,0.158,0.045
1500,500.0,250.0,5.0,0.628,1.181,0.297,0.072,0.132,0.051
1500,500.0,250.0,0.5,0.626,1.186,0.295,0.073,0.133,0.052
1500,500.0,100.0,50.0,0.621,1.273,0.231,0.079,0.153,0.037
1500,500.0,100.0,5.0,0.607,1.275,0.25,0.08,0.143,0.047
1500,500.0,100.0,0.5,0.602,1.288,0.246,0.084,0.153,0.049
1500,100.0,100.0,10.0,0.646,1.083,0.354,0.064,0.099,0.055
1500,100.0,100.0,1.0,0.635,1.099,0.355,0.074,0.124,0.063
1500,100.0,100.0,0.1,0.635,1.099,0.354,0.073,0.123,0.063
1500,100.0,50.0,10.0,0.638,1.171,0.293,0.087,0.158,0.045
1500,100.0,50.0,1.0,0.628,1.181,0.297,0.072,0.132,0.051
1500,100.0,50.0,0.1,0.626,1.186,0.295,0.073,0.133,0.052
1500,100.0,20.0,10.0,0.621,1.273,0.231,0.079,0.153,0.037
1500,100.0,20.0,1.0,0.607,1.275,0.25,0.08,0.143,0.047
1500,100.0,20.0,0.1,0.602,1.288,0.246,0.084,0.153,0.049
