mu,sigma,beta,tau,avg_acc,avg_calib,avg_log_loss,std_acc,std_calib,std_log_loss
1500,1000.0,1000.0,100.0,0.648,1.091,0.345,0.064,0.1,0.055
1500,1000.0,1000.0,10.0,0.635,1.109,0.345,0.074,0.125,0.064
1500,1000.0,1000.0,1.0,0.636,1.106,0.346,0.073,0.124,0.064
1500,1000.0,500.0,100.0,0.636,1.184,0.284,0.086,0.158,0.046
1500,1000.0,500.0,10.0,0.631,1.184,0.292,0.073,0.134,0.051
1500,1000.0,500.0,1.0,0.624,1.198,0.287,0.073,0.133,0.052
1500,1000.0,200.0,100.0,0.624,1.275,0.228,0.08,0.157,0.038
1500,1000.0,200.0,10.0,0.606,1.286,0.244,0.082,0.15,0.046
1500,1000.0,200.0,1.0,0.602,1.294,0.242,0.084,0.155,0.05
1500,500.0,500.0,50.0,0.648,1.091,0.345,0.064,0.1,0.055
1500,500.0,500.0,5.0,0.635,1.109,0.345,0.074,0.125,0.064
1500,500.0,500.0,0.5,0.636,1.106,0.346,0.073,0.124,0.064
1500,500.0,250.0,50.0,0.636,1.184,0.284,0.086,0.158,0.046
1500,500.0,250.0,5.0,0.631,1.184,0.292,0.073,0.134,0.051
1500,500.0,250.0,0.5,0.624,1.198,0.287,0.073,0.133,0.052
1500,500.0,100.0,50.0,0.624,1.275,0.228,0.08,0.157,0.038
1500,500.0,100.0,5.0,0.606,1.286,0.244,0.082,0.15,0.046
1500,500.0,100.0,0.5,0.602,1.294,0.242,0.084,0.155,0.05
1500,100.0,100.0,10.0,0.648,1.091,0.345,0.064,0.1,0.055
1500,100.0,100.0,1.0,0.635,1.109,0.345,0.074,0.125,0.064
1500,100.0,100.0,0.1,0.636,1.106,0.346,0.073,0.124,0.064
1500,100.0,50.0,10.0,0.636,1.184,0.284,0.086,0.158,0.046
1500,100.0,50.0,1.0,0.631,1.184,0.292,0.073,0.134,0.051
1500,100.0,50.0,0.1,0.624,1.198,0.287,0.073,0.133,0.052
1500,100.0,20.0,10.0,0.624,1.275,0.228,0.08,0.157,0.038
1500,100.0,20.0,1.0,0.606,1.286,0.244,0.082,0.15,0.046
1500,100.0,20.0,0.1,0.602,1.294,0.242,0.084,0.155,0.05
