mu,sigma,beta,tau,avg_acc,avg_calib,avg_log_loss
10,2,1.0,0.02,0.628,1.181,0.297
10,8,4.0,0.08,0.628,1.181,0.297
10,20,10.0,0.2,0.628,1.181,0.297
10,100,50.0,1.0,0.628,1.181,0.297
10,500,250.0,5.0,0.628,1.181,0.297
10,1000,500.0,10.0,0.628,1.181,0.297
25,2,1.0,0.02,0.628,1.181,0.297
25,8,4.0,0.08,0.628,1.181,0.297
25,20,10.0,0.2,0.628,1.181,0.297
25,100,50.0,1.0,0.628,1.181,0.297
25,500,250.0,5.0,0.628,1.181,0.297
25,1000,500.0,10.0,0.628,1.181,0.297
100,2,1.0,0.02,0.628,1.181,0.297
100,8,4.0,0.08,0.628,1.181,0.297
100,20,10.0,0.2,0.628,1.181,0.297
100,100,50.0,1.0,0.628,1.181,0.297
100,500,250.0,5.0,0.628,1.181,0.297
100,1000,500.0,10.0,0.628,1.181,0.297
1500,2,1.0,0.02,0.628,1.181,0.297
1500,8,4.0,0.08,0.628,1.181,0.297
1500,20,10.0,0.2,0.628,1.181,0.297
1500,100,50.0,1.0,0.628,1.181,0.297
1500,500,250.0,5.0,0.628,1.181,0.297
1500,1000,500.0,10.0,0.628,1.181,0.297
5000,2,1.0,0.02,0.628,1.181,0.297
5000,8,4.0,0.08,0.628,1.181,0.297
5000,20,10.0,0.2,0.628,1.181,0.297
5000,100,50.0,1.0,0.628,1.181,0.297
5000,500,250.0,5.0,0.628,1.181,0.297
5000,1000,500.0,10.0,0.628,1.181,0.297
10000,2,1.0,0.02,0.628,1.181,0.297
10000,8,4.0,0.08,0.628,1.181,0.297
10000,20,10.0,0.2,0.628,1.181,0.297
10000,100,50.0,1.0,0.628,1.181,0.297
10000,500,250.0,5.0,0.628,1.181,0.297
10000,1000,500.0,10.0,0.628,1.181,0.297
